,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
85,Adelie,Dream,41.3,20.3,194.0,3550.0,Male
264,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female
39,Adelie,Dream,39.8,19.1,184.0,4650.0,Male
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male
313,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male
261,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male
41,Adelie,Dream,40.8,18.4,195.0,3900.0,Male
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female
280,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female
201,Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female
44,Adelie,Dream,37.0,16.9,185.0,3000.0,Female
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female
36,Adelie,Dream,38.8,20.0,190.0,3950.0,Male
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female
303,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male
159,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male
192,Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male
300,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female
232,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female
19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male
61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male
156,Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male
305,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male
247,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male
274,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female
290,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female
31,Adelie,Dream,37.2,18.1,178.0,3900.0,Male
210,Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male
171,Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male
173,Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male
283,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male
174,Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female
330,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female
5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male
265,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female
242,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female
279,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female
225,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female
308,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female
188,Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male
226,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female
16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female
326,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female
97,Adelie,Dream,40.3,18.5,196.0,4350.0,Male
21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male
230,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female
306,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female
152,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male
257,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male
187,Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female
209,Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male
291,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male
316,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male
296,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male
288,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female
199,Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male
34,Adelie,Dream,36.4,17.0,195.0,3325.0,Female
26,Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male
193,Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female
161,Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male
259,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male
181,Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male
195,Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female
319,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male
23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
145,Adelie,Dream,39.0,18.7,185.0,3650.0,Male
194,Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male
267,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male
271,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male
223,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male
28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
238,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female
282,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female
269,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male
20,Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female
229,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male
90,Adelie,Dream,35.7,18.0,202.0,3550.0,Female
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female
17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male
134,Adelie,Dream,38.1,17.6,187.0,3425.0,Female
9,Adelie,Torgersen,42.0,20.2,190.0,4250.0,
113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male
1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female
307,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male
304,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female
197,Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male
342,Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female
165,Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male
218,Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male
104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female
25,Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female
136,Adelie,Dream,35.6,17.5,191.0,3175.0,Female
42,Adelie,Dream,36.0,18.5,186.0,3100.0,Female
48,Adelie,Dream,36.0,17.9,190.0,3450.0,Female
236,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female
317,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female
240,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male
196,Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female
337,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male
148,Adelie,Dream,36.0,17.8,195.0,3450.0,Female
167,Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male
179,Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male
121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male
243,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male
135,Adelie,Dream,41.1,17.5,190.0,3900.0,Male
320,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female
273,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male
200,Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male
55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male
27,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female
144,Adelie,Dream,37.3,16.8,192.0,3000.0,Female
151,Adelie,Dream,41.5,18.5,201.0,4000.0,Male
160,Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female
234,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female
297,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male
91,Adelie,Dream,41.1,18.1,205.0,4300.0,Male
293,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female
154,Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male
10,Adelie,Torgersen,37.8,17.1,186.0,3300.0,
327,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male
78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female
253,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male
146,Adelie,Dream,39.2,18.6,190.0,4250.0,Male
108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female
13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male
4,Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female
322,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female
260,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female
334,Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female
340,Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female
198,Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female
207,Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male
256,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female
312,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female
295,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male
63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male
58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female
328,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female
182,Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female
95,Adelie,Dream,40.8,18.9,208.0,4300.0,Male
191,Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male
112,Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female
309,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male
18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female
110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female
184,Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female
158,Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female
6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female
73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male
245,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male
252,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female
324,Gentoo,Biscoe,47.3,13.8,216.0,4725.0,
329,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male
254,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female
67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male
87,Adelie,Dream,36.9,18.6,189.0,3500.0,Female
46,Adelie,Dream,41.1,19.0,182.0,3425.0,Male
250,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male
49,Adelie,Dream,42.3,21.2,191.0,4150.0,Male
183,Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male
164,Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female
38,Adelie,Dream,37.6,19.3,181.0,3300.0,Female
40,Adelie,Dream,36.5,18.0,182.0,3150.0,Female
114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female
37,Adelie,Dream,42.2,18.5,180.0,3550.0,Female
86,Adelie,Dream,36.3,19.5,190.0,3800.0,Male
115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male
203,Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male
133,Adelie,Dream,37.5,18.5,199.0,4475.0,Male
222,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female
24,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male
93,Adelie,Dream,39.6,18.1,186.0,4450.0,Male
332,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female
166,Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female
35,Adelie,Dream,39.2,21.1,196.0,4150.0,Male
109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male
47,Adelie,Dream,37.5,18.9,179.0,2975.0,
286,Gentoo,Biscoe,46.2,14.4,214.0,4650.0,
54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male
8,Adelie,Torgersen,34.1,18.1,193.0,3475.0,
298,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female
333,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male
239,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male
289,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male
205,Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male
153,Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male
53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male
89,Adelie,Dream,38.9,18.8,190.0,3600.0,Female
29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male
281,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male
268,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female
294,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female
343,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male
138,Adelie,Dream,37.0,16.5,185.0,3400.0,Female
99,Adelie,Dream,43.2,18.5,192.0,4100.0,Male
172,Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female
321,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male
219,Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female
157,Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female
224,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male
105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male
227,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male
50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female
325,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male
155,Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female
180,Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female
278,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female
341,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male
237,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male
339,Gentoo,Biscoe,,,,,
338,Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female
287,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male
96,Adelie,Dream,38.1,18.6,190.0,3700.0,Female
94,Adelie,Dream,36.2,17.3,187.0,3300.0,Female
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female
284,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female
215,Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male
214,Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female
168,Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male
244,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female
14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male
169,Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male
302,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female
176,Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female
2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female
228,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female
175,Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male
249,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male
216,Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female
190,Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female
211,Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female
147,Adelie,Dream,36.6,18.4,184.0,3475.0,Female
64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female
276,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female
57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male
213,Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female
84,Adelie,Dream,37.3,17.8,191.0,3350.0,Female
314,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female
335,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male
56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female
150,Adelie,Dream,36.0,17.1,187.0,3700.0,Female
149,Adelie,Dream,37.8,18.1,193.0,3750.0,Male
88,Adelie,Dream,38.3,19.2,189.0,3950.0,Male
170,Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female
186,Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male
217,Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male
331,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male
65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male
3,Adelie,Torgersen,,,,,
103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male
323,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male
43,Adelie,Dream,44.1,19.7,196.0,4400.0,Male
140,Adelie,Dream,40.2,17.1,193.0,3400.0,Female
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female
246,Gentoo,Biscoe,44.5,14.3,216.0,4100.0,
92,Adelie,Dream,34.0,17.1,185.0,3400.0,Female
